,Chave do item,ID do item,Chave do projeto,Prioridade,Solicitante,Responsável,Campo personalizado (Enviado para N2),Criado,Atualizado,Campo personalizado (Ambiente),Campo personalizado (Categoria),Campo personalizado (Client ID)
0,ROUT-94501,94501,ROUT,Medium,Agent0,Analist0,28/06/24 9:26 AM,27/06/24 10:45 PM,28/06/24 9:39 AM,Product 4,Category0,1418
1,PLAT-72190,72190,PLAT,Low,Agent1,Analist1,27/06/24 9:50 PM,27/06/24 9:50 PM,28/06/24 10:07 AM,Product 4,Category1,576
2,PLAT-54850,54850,PLAT,Lowest,Agent2,Analist2,27/06/24 7:22 PM,27/06/24 7:22 PM,28/06/24 9:22 AM,Product 4,Category2,266
3,PLAT-59039,59039,PLAT,High,Agent3,Analist3,27/06/24 6:53 PM,27/06/24 6:53 PM,28/06/24 9:18 AM,Product 4,Category1,330
4,PLAT-12836,12836,PLAT,Low,Agent4,Analist3,27/06/24 6:17 PM,27/06/24 6:17 PM,27/06/24 6:18 PM,Product 4,Category3,1685
5,ROUT-92184,92184,ROUT,Low,Agent5,Analist3,27/06/24 6:14 PM,27/06/24 6:14 PM,27/06/24 6:15 PM,Product 4,Category4,1883
6,PLAT-92843,92843,PLAT,Low,Agent6,Analist3,27/06/24 6:10 PM,27/06/24 6:10 PM,28/06/24 9:25 AM,Product 4,Category5,1695
7,PLAT-73722,73722,PLAT,Low,Agent7,Analist4,28/06/24 9:04 AM,27/06/24 5:54 PM,28/06/24 9:11 AM,Product 4,Category6,903
8,PLAT-21431,21431,PLAT,Medium,Agent8,Analist3,27/06/24 5:35 PM,27/06/24 5:35 PM,27/06/24 5:36 PM,Product 4,Category7,1239
9,PLAT-59169,59169,PLAT,Low,Agent9,Analist4,27/06/24 5:35 PM,27/06/24 5:35 PM,28/06/24 9:15 AM,Product 4,Category1,1243
10,PLAT-48320,48320,PLAT,Low,Agent10,Analist5,27/06/24 5:35 PM,27/06/24 5:35 PM,28/06/24 9:06 AM,Product 4,Category8,1940
11,ROUT-33996,33996,ROUT,Low,Agent4,Analist3,27/06/24 5:34 PM,27/06/24 5:34 PM,28/06/24 9:38 AM,Product 4,Category9,2175
12,NET-56022,56022,NET,Medium,Agent11,Analist3,27/06/24 5:31 PM,27/06/24 5:31 PM,27/06/24 5:35 PM,Product 4,Category10,1213
13,PLAT-60676,60676,PLAT,Low,Agent12,Analist6,27/06/24 5:27 PM,27/06/24 5:27 PM,28/06/24 9:48 AM,Product 4,Category11,1999
14,ROUT-61509,61509,ROUT,Low,Agent13,Analist4,27/06/24 5:10 PM,27/06/24 5:10 PM,28/06/24 8:30 AM,Product 4,Category0,1467
15,PLAT-20068,20068,PLAT,Low,Agent14,Analist7,27/06/24 5:17 PM,27/06/24 5:09 PM,28/06/24 9:54 AM,Product 4,Category3,1406
16,PLAT-67127,67127,PLAT,Low,Agent15,Analist8,27/06/24 5:02 PM,27/06/24 5:02 PM,28/06/24 9:57 AM,Product 4,Category5,1816
17,PLAT-17351,17351,PLAT,Low,Agent16,Analist3,27/06/24 5:00 PM,27/06/24 5:00 PM,28/06/24 9:30 AM,Product 4,Category11,22
18,PLAT-74328,74328,PLAT,Low,Agent17,Analist9,27/06/24 4:53 PM,27/06/24 4:53 PM,27/06/24 5:12 PM,Product 4,Category1,2224
