,Ticket ID,Client ID,Ticket Status,Agent,Categoria,Brand,Creation Date,Last Update Date,Satisfação
0,10263,14699,Closed,Agent0,Category0,Brand0,2024-05-29,2024-05-30,Good
1,4601,8035,Closed,Agent1,Category1,Brand0,2024-05-29,2024-05-30,Good
2,11412,16741,Closed,Agent1,Category2,Brand0,2024-05-29,2024-05-30,Good
3,327,5388,Closed,Agent2,Category3,Brand0,2024-05-29,2024-05-30,Unoffered
4,7857,1507,Closed,Agent0,Category4,Brand0,2024-05-29,2024-05-30,Good
5,11056,1893,Closed,Agent1,Category5,Brand0,2024-05-29,2024-06-01,Unoffered
6,6225,3944,Closed,Agent1,Category6,Brand0,2024-05-29,2024-06-01,Offered
7,15413,1125,Closed,Agent1,Category7,Brand0,2024-05-29,2024-05-30,Unoffered
8,3602,6195,Closed,Agent3,Category8,Brand0,2024-05-29,2024-05-29,Unoffered
9,2072,6202,Closed,Agent3,Category9,Brand0,2024-05-29,2024-05-29,Unoffered
10,70,6089,Closed,Agent3,Category6,Brand0,2024-05-29,2024-05-30,Unoffered
11,8237,1407,Closed,Agent4,Category10,Brand0,2024-05-29,2024-06-03,Offered
12,7616,14285,Closed,Agent0,Category11,Brand0,2024-05-29,2024-06-01,Unoffered
13,11735,1688,Closed,Agent0,Category10,Brand0,2024-05-29,2024-05-30,Unoffered
14,5197,1445,Closed,Agent5,Category12,Brand0,2024-05-29,2024-06-01,Good
15,3723,2124,Closed,Agent1,Category13,Brand0,2024-05-29,2024-06-07,Unoffered
16,4308,17449,Closed,Agent3,Category14,Brand0,2024-05-29,2024-05-30,Unoffered
17,8637,17756,Closed,Agent6,Category15,Brand0,2024-05-29,2024-06-01,Offered
18,11161,10196,Closed,Agent3,Category16,Brand0,2024-05-29,2024-05-30,Unoffered
19,8822,6438,Closed,Agent0,Category17,Brand0,2024-05-29,2024-05-30,Unoffered
20,12711,9142,Closed,Agent1,Category18,Brand0,2024-05-29,2024-05-30,Unoffered
21,18074,14130,Closed,Agent3,Category13,Brand0,2024-05-29,2024-05-31,Unoffered
22,13762,3370,Closed,Agent7,Category19,Brand0,2024-05-29,2024-05-30,Unoffered
23,11151,12421,Closed,Agent5,Category20,Brand0,2024-05-29,2024-06-01,Unoffered
24,8522,13071,Closed,Agent8,Category5,Brand0,2024-05-29,2024-05-30,Good
25,5945,17195,Closed,Agent9,Category21,Brand0,2024-05-29,2024-05-30,Unoffered
26,15828,12008,Closed,Agent10,Category17,Brand0,2024-05-29,2024-05-30,Unoffered
27,12919,14518,Closed,Agent11,Category22,Brand0,2024-05-29,2024-05-30,Unoffered
28,7790,1182,Closed,Agent7,Category13,Brand0,2024-05-29,2024-05-30,Unoffered
29,628,6282,Closed,Agent8,Category23,Brand0,2024-05-29,2024-05-30,Unoffered
30,17673,11862,Closed,Agent10,Category24,Brand0,2024-05-29,2024-06-08,Unoffered
31,7318,12973,Closed,Agent12,Category25,Brand0,2024-05-29,2024-05-30,Unoffered
32,2406,14020,Closed,Agent13,Category26,Brand0,2024-05-29,2024-05-30,Unoffered
33,17904,15173,Closed,Agent14,Category27,Brand0,2024-05-29,2024-05-30,Unoffered
34,2548,7790,Closed,Agent5,Category28,Brand0,2024-05-29,2024-06-01,Offered
35,14732,10086,Closed,Agent15,Category13,Brand0,2024-05-29,2024-05-30,Unoffered
36,10767,15277,Closed,Agent9,Category29,Brand0,2024-05-29,2024-05-30,Unoffered
37,4157,4199,Closed,Agent10,Category30,Brand0,2024-05-29,2024-05-30,Unoffered
38,7947,17718,Closed,Agent12,Category10,Brand0,2024-05-29,2024-05-30,Good
39,12219,17842,Closed,Agent16,Category3,Brand0,2024-05-29,2024-05-30,Unoffered
40,11182,17888,Closed,Agent15,Category31,Brand0,2024-05-29,2024-05-30,Good
41,13968,8449,Closed,Agent17,Category32,Brand0,2024-05-29,2024-05-30,Unoffered
42,12489,450,Closed,Agent8,Category13,Brand0,2024-05-29,2024-06-04,Good
43,1439,7429,Closed,Agent10,Category1,Brand0,2024-05-29,2024-05-30,Unoffered
44,7438,15232,Closed,Agent12,Category23,Brand0,2024-05-29,2024-05-30,Unoffered
45,6860,9307,Closed,Agent17,Category33,Brand0,2024-05-29,2024-05-30,Unoffered
46,5637,4720,Closed,Agent18,Category34,Brand0,2024-05-29,2024-05-30,Unoffered
47,15835,6041,Closed,Agent11,Category4,Brand0,2024-05-29,2024-05-30,Unoffered
48,9457,15118,Closed,Agent7,Category1,Brand0,2024-05-29,2024-06-04,Good
49,2019,10804,Closed,Agent13,Category4,Brand0,2024-05-29,2024-05-30,Unoffered
50,16391,15473,Closed,Agent10,Category11,Brand0,2024-05-29,2024-05-30,Unoffered
51,3706,6765,Closed,Agent19,Category35,Brand0,2024-05-29,2024-06-06,Unoffered
52,8114,18367,Closed,Agent12,Category36,Brand0,2024-05-29,2024-05-30,Unoffered
53,3843,13389,Closed,Agent7,Category37,Brand0,2024-05-29,2024-05-30,Unoffered
54,10694,930,Closed,Agent20,Category12,Brand0,2024-05-29,2024-06-01,Good
55,8584,4005,Closed,Agent9,Category10,Brand0,2024-05-29,2024-05-30,Unoffered
56,9071,5332,Closed,Agent13,Category7,Brand0,2024-05-29,2024-05-30,Unoffered
57,16819,6621,Closed,Agent21,Category6,Brand0,2024-05-29,2024-05-30,Good
58,17425,3490,Closed,Agent14,Category38,Brand0,2024-05-29,2024-05-30,Unoffered
59,6215,76,Closed,Agent18,Category38,Brand0,2024-05-29,2024-05-30,Good
60,8419,17286,Closed,Agent21,Category39,Brand0,2024-05-29,2024-05-30,Unoffered
61,14983,10910,Closed,Agent12,Category40,Brand0,2024-05-29,2024-05-30,Unoffered
62,16879,10075,Closed,Agent9,Category39,Brand0,2024-05-29,2024-05-30,Unoffered
63,14177,11827,Closed,Agent11,Category39,Brand0,2024-05-29,2024-05-30,Unoffered
64,13677,11012,Closed,Agent17,Category41,Brand0,2024-05-29,2024-05-30,Good
65,4122,15246,Closed,Agent15,Category39,Brand0,2024-05-29,2024-05-30,Good
66,11688,11386,Closed,Agent8,Category42,Brand0,2024-05-29,2024-05-30,Good
67,901,5709,Closed,Agent18,Category38,Brand0,2024-05-29,2024-05-30,Unoffered
68,16523,8035,Closed,Agent13,Category43,Brand0,2024-05-29,2024-05-30,Unoffered
69,7420,11650,Closed,Agent14,Category43,Brand0,2024-05-29,2024-05-30,Unoffered
70,6499,15395,Closed,Agent12,Category40,Brand0,2024-05-29,2024-05-30,Unoffered
71,866,12249,Closed,Agent9,Category24,Brand0,2024-05-29,2024-06-01,Bad
72,15394,16662,Closed,Agent21,Category39,Brand0,2024-05-29,2024-05-30,Good
73,12515,1758,Closed,Agent11,Category39,Brand0,2024-05-29,2024-05-30,Unoffered
74,10163,3515,Closed,Agent15,Category39,Brand0,2024-05-29,2024-05-30,Good
75,16545,4736,Closed,Agent6,Category23,Brand0,2024-05-29,2024-05-30,Unoffered
76,2286,9562,Closed,Agent5,Category39,Brand0,2024-05-29,2024-05-30,Unoffered
77,8171,9852,Closed,Agent22,Category39,Brand0,2024-05-29,2024-05-30,Good
78,7980,14497,Closed,Agent10,Category44,Brand0,2024-05-29,2024-05-30,Unoffered
79,869,5444,Closed,Agent16,Category45,Brand0,2024-05-29,2024-05-30,Unoffered
80,11873,14616,Closed,Agent13,Category43,Brand0,2024-05-29,2024-05-30,Unoffered
81,7175,1127,Closed,Agent17,Category4,Brand0,2024-05-29,2024-05-30,Good
82,16794,4915,Closed,Agent23,Category39,Brand0,2024-05-29,2024-05-30,Unoffered
83,15769,13769,Closed,Agent23,Category39,Brand0,2024-05-29,2024-05-30,Unoffered
84,7142,517,Closed,Agent23,Category39,Brand0,2024-05-29,2024-05-30,Unoffered
85,6986,8681,Closed,Agent7,Category39,Brand0,2024-05-29,2024-05-30,Good
86,2333,10083,Closed,Agent19,Category38,Brand0,2024-05-29,2024-06-04,Unoffered
87,9947,8622,Closed,Agent22,Category39,Brand0,2024-05-29,2024-05-30,Unoffered
88,7231,16967,Closed,Agent4,Category38,Brand0,2024-05-29,2024-05-30,Unoffered
89,9882,13305,Closed,Agent2,Category46,Brand0,2024-05-29,2024-06-05,Unoffered
90,718,2917,Closed,Agent2,Category40,Brand0,2024-05-29,2024-05-30,Unoffered
91,5907,4431,Closed,Agent5,Category39,Brand0,2024-05-29,2024-05-30,Unoffered
92,7546,12066,Closed,Agent13,Category43,Brand0,2024-05-29,2024-05-30,Unoffered
93,11219,13642,Closed,Agent24,Category43,Brand0,2024-05-29,2024-05-30,Good
94,447,13097,Closed,Agent5,Category23,Brand0,2024-05-29,2024-06-01,Unoffered
95,2263,12861,Closed,Agent25,Category39,Brand0,2024-05-29,2024-05-30,Unoffered
96,7891,3804,Closed,Agent25,Category47,Brand0,2024-05-29,2024-06-20,Unoffered
97,16389,2865,Closed,Agent21,Category39,Brand0,2024-05-29,2024-05-30,Unoffered
98,4569,4659,Closed,Agent25,Category39,Brand0,2024-05-29,2024-06-01,Bad
99,10383,12609,Closed,Agent25,Category39,Brand0,2024-05-29,2024-05-30,Unoffered
100,14954,17220,Closed,Agent5,Category23,Brand0,2024-05-29,2024-05-30,Unoffered
101,8854,11408,Closed,Agent26,Category48,Brand0,2024-05-29,2024-06-01,Bad
102,2076,15487,Closed,Agent8,Category40,Brand0,2024-05-29,2024-05-30,Good
103,4653,5350,Closed,Agent27,Category44,Brand0,2024-05-29,2024-05-30,Unoffered
104,15147,17924,Closed,Agent28,Category39,Brand0,2024-05-29,2024-05-30,Unoffered
105,11222,3999,Closed,Agent28,Category49,Brand0,2024-05-29,2024-05-30,Unoffered
106,12670,15671,Closed,Agent27,Category44,Brand0,2024-05-29,2024-05-30,Unoffered
107,17721,5191,Closed,Agent19,Category44,Brand0,2024-05-29,2024-05-30,Unoffered
108,14622,284,Closed,Agent27,Category44,Brand0,2024-05-29,2024-05-30,Unoffered
109,11473,390,Closed,Agent27,Category44,Brand0,2024-05-29,2024-05-30,Unoffered
110,17485,12747,Closed,Agent9,Category39,Brand0,2024-05-29,2024-05-30,Unoffered
111,15984,3325,Closed,Agent29,Category50,Brand0,2024-05-29,2024-05-30,Unoffered
112,1720,9072,Closed,Agent30,Category21,Brand0,2024-05-29,2024-05-30,Unoffered
113,2960,10430,Closed,Agent19,Category38,Brand0,2024-05-29,2024-05-30,Unoffered
114,9936,7768,Closed,Agent31,Category51,Brand0,2024-05-29,2024-06-03,Offered
115,8293,10105,Closed,Agent19,Category39,Brand0,2024-05-29,2024-05-30,Good
116,9183,9317,Closed,Agent12,Category40,Brand0,2024-05-29,2024-05-30,Good
117,11512,9392,Closed,Agent19,Category43,Brand0,2024-05-29,2024-05-30,Good
118,18075,4385,Closed,Agent15,Category39,Brand0,2024-05-29,2024-05-30,Unoffered
119,18168,64,Closed,Agent0,Category11,Brand0,2024-05-29,2024-05-31,Unoffered
120,12355,17861,Closed,Agent9,Category7,Brand0,2024-05-29,2024-05-30,Unoffered
121,3845,14703,Closed,Agent2,Category40,Brand0,2024-05-29,2024-06-01,Bad
122,8177,6502,Hold,Agent2,Category52,Brand0,2024-05-29,2024-06-14,Unoffered
123,3034,4193,Closed,Agent32,Category11,Brand0,2024-05-29,2024-05-30,Unoffered
124,10821,1071,Closed,Agent8,Category40,Brand0,2024-05-29,2024-05-30,Unoffered
125,13614,15113,Closed,Agent19,Category38,Brand0,2024-05-29,2024-05-30,Unoffered
126,6546,3966,Closed,Agent19,Category39,Brand0,2024-05-29,2024-05-30,Unoffered
127,13472,15279,Closed,Agent9,Category39,Brand0,2024-05-29,2024-05-30,Unoffered
